Comment,Actual_Sentiment,Cleaned_Comment
"Jade was pushed fast in another company. WWE is treating her right. She has the look, she has the skills, she has the ability. Some people just don’t want to see talent succeed. Nothing to do with being a female, colour of skin. They just don’t like to see someone strong and confident succeed.",positive,jade pushed fast another company wwe treating right look skill ability people want see talent succeed nothing female colour skin like see someone strong confident succeed
Are ye 20 sal mushki se jiye ga tab ladki bewa hokar kya karegi bechari,neutral,sal mushki jiye tab ladki bewa hokar kya karegi bechari
Aly is fcking rude for no reason its laughter chef not master chef he can relax,neutral,aly fcking rude reason laughter chef master chef relax
Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,neutral,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
bhavya is furfect maching rishank you don't miss her 😊❤❤Rishank boora person all falut he is mom he is past not good ☹️☹️😢 mom not give love she is treiner 🤨🤨,negative,bhavya furfect maching rishank dont miss 😊❤❤rishank boora person falut mom past good ☹️☹️😢 mom give love treiner
Black pink 🖤🩷😊🎉,positive,black pink 🖤🩷😊🎉
es video me saru ki kan ki bali kbhi gayb ho rhi h kabhi aa rhi h kisi ne notice kiya😃😃,positive,video saru kan bali kbhi gayb rhi kabhi rhi kisi notice kiya😃😃
"He cried, because he knows youre a racist.",negative,cried know youre racist
I love that she licked her!,positive,love licked
WTF 12:43 ew,negative,wtf
Avokado on assy ko,neutral,avokado assy
Bro just spit all over Breakker🥀,neutral,bro spit breakker🥀
wtf?,negative,wtf
Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah,neutral,allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah allah
black贫困 不 洒入口i你在 从ok 俄ski 阿妈 本 哈拉 地努力哟如梦❤😢,neutral,black贫困 洒入口i你在 从ok 俄ski 地努力哟如梦❤😢
Sunoo's soo freaking beautiful here,neutral,sunoos soo freaking beautiful
"Bohut sahi expose kiya, maan gaye ghatiyapan ko call out karna zaroori hai samaj mein😷",neutral,bohut sahi expose kiya maan gaye ghatiyapan call karna zaroori hai samaj mein😷
Another dumb flick in making 😢,negative,another dumb flick making
I miss you black pink😣💗,positive,miss black pink😣💗
Sab koi mera coment like karo bina maa ksam❤,positive,sab koi mera coment like karo bina maa ksam❤
It sucks that they are gonna screw jade over again. She deserves this ❤️,negative,suck gon screw jade deserves
♪★Gonna be a banger ★♪,neutral,gon banger
8:33 he was definitely about to say penis,positive,definitely say penis
와아아아!!! Let’s go Blackpink!! 🖤🩷,neutral,와아아아 let blackpink
Puss in boots,neutral,pus boot
Etna jaldi fal mil gaya 😂,positive,etna jaldi fal mil gaya
Maa kasam jisne like subscribe nhi kiya o pakka exam me fail hoga 😢,negative,maa kasam jisne like subscribe nhi kiya pakka exam fail hoga
4:28 bik wtf,negative,bik wtf
Cardi B??? You gotta be effing kidding me,neutral,cardi got effing kidding
Wow 😮 Mexico ARMY rapping Becky's part like the rent is due 🙌,positive,wow mexico army rapping beckys part like rent due
This is dumb.. first of all it won’t protect you from the rain and what’s pissing me off the most IS YOU RIPPING THE UMBRELLA. WHY??,negative,dumb first protect rain pissing ripping umbrella
2:26 aww he sweetest when he said i have never been bad boy but slayed your role hobiiiiiiiiiiii you are a fire 🔥🔥🔥🔥🔥🔥,negative,aww sweetest said never bad boy slayed role hobiiiiiiiiiiii fire 🔥🔥🔥🔥🔥🔥
Plz bakwas mut dikhao Kadambari ka sacch sabke samane lao bahut hogaya. Dilip ne itna dimag laga ke chor pakada hai bazi palatni nahi chahiye jeet Kadambari ki nahi Dilip ki honi chahiye. Har baar Dilip ko kyun hara rahe ho jab ki woh sahi kaam kar raha hai. Iss baar Badi Jeet Ashwin n Dilip ko hi milani chahiye bahut hua choohe billi ka khel. Pushpa pe bina matlab ke Chor ka tag jo laga hai usse hatao.,neutral,plz bakwas mut dikhao kadambari sacch sabke samane lao bahut hogaya dilip itna dimag laga chor pakada hai bazi palatni nahi chahiye jeet kadambari nahi dilip honi chahiye har baar dilip kyun hara rahe jab woh sahi kaam kar raha hai iss baar badi jeet ashwin dilip milani chahiye bahut hua choohe billi khel pushpa bina matlab chor tag laga hai usse hatao
"Was mah fav and still mah fav😁
 What a banger it is!!",positive,mah fav still mah fav😁 banger
Damn. Asuka's english hace gotten so much better,neutral,damn asukas english hace gotten much better
"Goldberg should not win, giving him direct title shots already stupid and him winning is a complete disrespect",negative,goldberg win giving direct title shot already stupid winning complete disrespect
"😂😂❤💫💋Dimaagh thodha Sa kharaab hy, iss mein koi doubt nhi😂🥰 Your madness is adorable❤️",positive,😂😂❤💫💋dimaagh thodha kharaab iss mein koi doubt nhi😂🥰 madness adorable❤️
Hindu be like ❤,positive,hindu like
"Yeah, but then your pants will get dirty again if you land in the mud",negative,yeah pant get dirty land mud
"Bakhwas hain.mujhe pata hain kiya hoga
 😂
 Aishwarya kidney degi shurti ko lekin badle me mannat ko vikrant se dur jaane ko kehegi😂😂",positive,bakhwas hainmujhe pata hain kiya hoga aishwarya kidney degi shurti lekin badle mannat vikrant dur jaane kehegi😂😂
Mera pyar bhi ye gana stetas pr lagte the ki tere n huaa to kisi na rhege bhagwaan sb thik kr do jo bhi problem solv ho jaye ❤,positive,mera pyar bhi gana stetas lagte tere huaa kisi rhege bhagwaan thik bhi problem solv jaye
“He’s ducking me” and “STRAIN HIS MOUSTACHE” are my new favorite AJ quotes of all time now😂😂😂😂,positive,ducking strain moustache new favorite quote time now😂😂😂😂
bohot khana waste he,negative,bohot khana waste
❤❤ homosexual,positive,homosexual
Haters can hate! But no other superstar can give such aura like Goldberg! We 90s kids know who Bill Goldberg is! He was and is the greatest in history of wresting!,negative,hater hate superstar give aura like goldberg kid know bill goldberg greatest history wresting
Dude this is so fucking cute. please keep drawing and making videos,positive,dude fucking cute please keep drawing making video
get life,neutral,get life
Who's is new group come in bighit,neutral,who new group come bighit
Hope giulia wins zelina sucks and is boring as champion,positive,hope giulia win zelina suck boring champion
Pewds there is a piece of poo by your nose,neutral,pewds piece poo nose
Your not fat alex,neutral,fat alex
Bahut lambe intezar ke baad horror show dekhne milega ummid hai show daravana hoga comady nahi hogi aur jyada se jyada murder dikhaye jayenge tabhi to dar lagega,negative,bahut lambe intezar baad horror show dekhne milega ummid hai show daravana hoga comady nahi hogi aur jyada jyada murder dikhaye jayenge tabhi dar lagega
Sonu nigam fan like button ❤,positive,sonu nigam fan like button
Tanner's Ass 🤣🤣🤣🤣🤣🤣,positive,tanner as 🤣🤣🤣🤣🤣🤣
"I literally came back after freaking 10 years to see this
 Legit mann!!",negative,literally came back freaking year see legit mann
PewDiePie and Marzia Both of you husband and wife Don't brag Iam pissed you fools,neutral,pewdiepie marzia husband wife dont brag iam pissed fool
Kiran is absolutely right because of brainless brothers rishi's parents were killed...they only killed them..literally not but their spineless character and attitudes killed them..being ignorant and unawareness they were killed by zero masculinity rishi 😅😅😅😅😅,negative,kiran absolutely right brainless brother rishis parent killedthey killed themliterally spineless character attitude killed thembeing ignorant unawareness killed zero masculinity rishi 😅😅😅😅😅
Porkatpana chalu aahe,neutral,porkatpana chalu aahe
Kaa tujhi aai kadhli tar raag aala,neutral,kaa tujhi aai kadhli tar raag aala
He is an unnakkan,neutral,unnakkan
Faltu Skitt Ahe,neutral,faltu skitt ahe
Bro my periyamma she is also like this type she had done blackmagic and spoiled my life and in my 8th STD she said my death is with her but my mom didn't care of what she said but now really it's like iam in hell I don't like to live Apadi Iruku bro ena pandrathu nu Theriyala,negative,bro periyamma also like type done blackmagic spoiled life std said death mom didnt care said really like iam hell dont like live apadi iruku bro ena pandrathu theriyala
These things are not related to Pakistan these kind of people are found every where arround the world but you people are so pathetic you are giving explainations like that the Pakistan government officially legalized these things shame on you,negative,thing related pakistan kind people found every arround world people pathetic giving explainations like pakistan government officially legalized thing shame
"""Idiots government's ""
 Shameless politics 🐷",neutral,idiot government shameless politics
